Time,Mean_viralload,Mean_log10_V,Count
2.0,5.938,0.7581,4.0
3.0,6.6273,0.8176,6.0
4.0,7.1888,0.8535,5.0
5.0,6.7741,0.8193,8.0
6.0,6.1907,0.7888,7.0
7.0,5.3977,0.7295,6.0
8.0,5.7173,0.7553,3.0
9.0,4.6518,0.6586,9.0
10.0,4.5366,0.6279,5.0
11.0,3.7348,0.5426,9.0
12.0,3.2112,0.4926,9.0
13.0,3.9958,0.5955,4.0
14.0,2.9146,0.4517,5.0
15.0,3.0801,0.4579,8.0
16.0,3.1781,0.4794,8.0
17.0,3.0518,0.4539,6.0
18.0,2.948,0.4494,4.0
19.0,2.9692,0.4524,5.0
20.0,3.4013,0.5253,3.0
21.0,2.449,0.362,2.0
22.0,3.6075,0.5435,2.0
23.0,1.606,0.2057,1.0
24.0,1.602,0.2047,1.0
